id,codigo,nombre,departamento_id
1,41244,"Elías",1
2,11001,"Bogotá D.C.",2
3,52838,"Túquerres",3
4,17042,Anserma,4
5,23555,"Planeta Rica",5
6,41518,Paicol,1
7,27001,"Quibdó",6
8,20011,Aguachica,7
9,5001,"Medellín",8
10,41615,Rivera,1
11,41668,"San Agustín",1
12,66170,Dosquebradas,9
13,54001,"Cúcuta",10
14,8001,Barranquilla,11
15,13442,"María La Baja",12
16,17001,Manizales,4
17,15804,"Tibaná",13
18,15248,"El Espino",13
19,5887,Yarumal,8
20,52215,"Córdoba",3
21,44001,Riohacha,14
22,25386,"La Mesa",15
23,41885,"Yaguará",1
24,19450,Mercaderes,16
25,15104,"Boyacá",13
26,68547,Piedecuesta,17
27,20013,"Agustín Codazzi",7
28,13001,"Cartagena De Indias",12
29,68276,Floridablanca,17
30,5585,"Puerto Nare",8
31,5411,Liborina,8
32,41078,Baraya,1
33,41016,Aipe,1
34,23672,"San Antero",5
35,19142,Caloto,16
36,25580,"Pulí",15
37,19001,"Popayán",16
38,52540,Policarpa,3
39,52560,"Potosí",3
40,5579,"Puerto Berrío",8
41,41001,Neiva,1
42,20001,Valledupar,7
43,13549,Pinillos,12
44,13650,"San Fernando",12
45,70001,Sincelejo,18
46,68001,Bucaramanga,17
47,20045,Becerril,7
48,20400,"La Jagua De Ibirico",7
49,20517,Pailitas,7
50,76130,Candelaria,19
51,15469,"Moniquirá",13
52,25123,Cachipay,15
53,41551,Pitalito,1
54,15001,Tunja,13
55,17614,Riosucio,4
56,13244,"El Carmen De Bolívar",12
57,66001,Pereira,9
58,15176,"Chiquinquirá",13
59,76109,Buenaventura,19
60,47001,"Santa Marta",20
61,13212,"Córdoba",12
62,76111,"Guadalajara De Buga",19
63,17380,"La Dorada",4
64,25754,Soacha,15
65,76001,Cali,19
66,15238,Duitama,13
67,44430,Maicao,14
68,19392,"La Sierra",16
69,25214,Cota,15
70,8606,"Repelón",11
71,63001,Armenia,21
72,25168,"Chaguaní",15
73,50001,Villavicencio,22
74,15516,Paipa,13
75,47570,Puebloviejo,20
76,47189,"Ciénaga",20
77,18150,"Cartagena Del Chairá",23
78,25899,"Zipaquirá",15
79,20710,"San Alberto",7
80,47551,Pivijay,20
81,68755,Socorro,17
82,15632,"Saboyá",13
83,25612,Ricaurte,15
84,5837,Turbo,8
85,52835,"San Andrés De Tumaco",3
86,68255,"El Playón",17
87,5890,"Yolombó",8
88,41013,Agrado,1
89,5360,"Itagüí",8
90,15507,Otanche,13
91,50226,Cumaral,22
92,13654,"San Jacinto",12
93,15325,"Guayatá",13
94,17446,Marulanda,4
95,25430,Madrid,15
96,25269,"Facatativá",15
97,13688,"Santa Rosa Del Sur",12
98,54810,"Tibú",10
99,76834,"Tuluá",19
100,52411,Linares,3
101,47960,"Zapayán",20
102,68895,Zapatoca,17
103,15759,Sogamoso,13
104,17513,"Pácora",4
105,13657,"San Juan Nepomuceno",12
106,15180,Chiscas,13
107,15572,"Puerto Boyacá",13
108,68307,"Girón",17
109,76845,Ulloa,19
110,50318,Guamal,22
111,52612,Ricaurte,3
112,15500,"Oicatá",13
113,70742,"San Luis De Sincé",18
114,41548,Pital,1
115,68418,"Los Santos",17
116,73870,Villahermosa,24
117,5266,Envigado,8
118,73200,Coello,24
119,86569,"Puerto Caicedo",25
120,76275,Florida,19
121,44378,Hatonuevo,14
122,47245,"El Banco",20
123,25307,Girardot,15
124,76892,Yumbo,19
125,8758,Soledad,11
126,25290,"Fusagasugá",15
127,85001,Yopal,26
128,73319,Guamo,24
129,23079,Buenavista,5
130,70508,Ovejas,18
131,70670,"Sampués",18
132,5088,Bello,8
133,81065,Arauquita,27
134,54874,"Villa Del Rosario",10
135,68190,Cimitarra,17
136,85230,"Orocué",26
137,44279,Fonseca,14
138,50577,"Puerto Lleras",22
139,52110,Buesaco,3
140,47545,"Pijiño Del Carmen",20
141,73001,"Ibagué",24
142,5034,Andes,8
143,41524,Palermo,1
144,13430,"Magangué",12
145,52083,"Belén",3
146,52788,Tangua,3
147,50711,Vistahermosa,22
148,18592,"Puerto Rico",23
149,63594,Quimbaya,21
150,5250,"El Bagre",8
151,5120,"Cáceres",8
152,50287,Fuentedeoro,22
153,68121,Cabrera,17
154,19821,"Toribío",16
155,8573,"Puerto Colombia",11
156,5670,"San Roque",8
157,5282,Fredonia,8
158,86001,Mocoa,25
159,70473,Morroa,18
160,18001,Florencia,23
161,52001,Pasto,3
162,52356,Ipiales,3
163,66400,"La Virginia",9
164,23466,"Montelíbano",5
165,52786,Taminango,3
166,44078,Barrancas,14
167,5490,"Necoclí",8
168,68079,Barichara,17
169,70215,Corozal,18
170,52405,Leiva,3
171,54128,"Cáchira",10
172,85250,"Paz De Ariporo",26
173,54498,"Ocaña",10
174,52227,Cumbal,3
175,52256,"El Rosario",3
176,73483,Natagaima,24
177,70708,"San Marcos",18
178,5440,Marinilla,8
179,73504,Ortega,24
180,15380,"La Capilla",13
181,13468,"Mompós",12
182,5615,Rionegro,8
183,25175,"Chía",15
184,68397,"La Paz",17
185,73349,Honda,24
186,5792,Tarso,8
187,76122,Caicedonia,19
188,15322,Guateque,13
189,25799,Tenjo,15
190,50606,Restrepo,22
191,19548,"Piendamó - Tunía",16
192,25839,"Ubalá",15
193,15778,Sutatenza,13
194,25736,"Sesquilé",15
195,54405,"Los Patios",10
196,54518,Pamplona,10
197,73678,"San Luis",24
198,23162,"Cereté",5
199,25286,Funza,15
200,5129,Caldas,8
201,73275,Flandes,24
202,81001,Arauca,27
203,20310,"González",7
204,85125,"Hato Corozal",26
205,19130,"Cajibío",16
206,19256,"El Tambo",16
207,17442,Marmato,4
208,5690,"Santo Domingo",8
209,23586,"Purísima De La Concepción",5
210,5284,Frontino,8
211,13052,Arjona,12
212,23001,"Montería",5
213,76248,"El Cerrito",19
214,25154,"Carmen De Carupa",15
215,50150,"Castilla La Nueva",22
216,86568,"Puerto Asís",25
217,73585,"Purificación",24
218,5318,Guarne,8
219,25377,"La Calera",15
220,15407,"Villa De Leyva",13
221,25099,"Bojacá",15
222,25781,Sutatausa,15
223,25817,"Tocancipá",15
224,5101,"Ciudad Bolívar",8
225,19760,Sotara,16
226,13248,"El Guamo",12
227,19075,Balboa,16
228,15842,"Úmbita",13
229,5051,Arboletes,8
230,76520,Palmira,19
231,23807,Tierralta,5
232,81736,Saravena,27
233,81794,Tame,27
234,13473,Morales,12
235,23686,"San Pelayo",5
236,13062,Arroyohondo,12
237,19807,"Timbío",16
238,23419,"Los Córdobas",5
239,5873,"Vigía Del Fuerte",8
240,5607,Retiro,8
241,23500,"Moñitos",5
242,23815,"Tuchín",5
243,25372,"Junín",15
244,5642,Salgar,8
245,70823,"Tolú Viejo",18
246,91001,Leticia,28
247,19137,Caldono,16
248,5591,"Puerto Triunfo",8
249,19585,"Puracé",16
250,19743,Silvia,16
251,68020,Albania,17
252,8296,Galapa,11
253,5125,Caicedo,8
254,73854,"Valle De San Juan",24
255,8549,"Piojó",11
256,52233,Cumbitara,3
257,66594,"Quinchía",9
258,95001,"San José Del Guaviare",29
259,97001,"Mitú",30
260,19355,"Inzá",16
261,20750,"San Diego",7
262,66456,"Mistrató",9
263,17541,Pensilvania,4
264,23350,"La Apartada",5
265,5858,"Vegachí",8
266,17388,"La Merced",4
267,25769,Subachoque,15
268,17777,"Supía",4
269,23417,Lorica,5
270,20178,"Chiriguaná",7
271,5240,"Ebéjico",8
272,5040,"Anorí",8
273,50568,"Puerto Gaitán",22
274,68720,"Santa Helena Del Opón",17
275,13140,Calamar,12
276,76869,Vijes,19
277,68406,Lebrija,17
278,70771,Sucre,18
279,73408,"Lérida",24
280,5237,"Donmatías",8
281,76041,Ansermanuevo,19
282,66045,"Apía",9
283,70418,"Los Palmitos",18
284,88001,"San Andrés",31
285,70235,Galeras,18
286,52287,Funes,3
287,52390,"La Tola",3
288,70820,"Santiago De Tolú",18
289,5234,Dabeiba,8
290,41006,Acevedo,1
291,68770,Suaita,17
292,5631,Sabaneta,8
293,5400,"La Unión",8
294,41298,"Garzón",1
295,5380,"La Estrella",8
296,68679,"San Gil",17
297,25843,"Villa De San Diego De Ubaté",15
298,25740,"Sibaté",15
299,5045,"Apartadó",8
300,52720,Sapuyes,3
301,44650,"San Juan Del Cesar",14
302,5368,"Jericó",8
303,41807,"Timaná",1
304,68682,"San Joaquín",17
305,8433,Malambo,11
306,8421,Luruaco,11
307,68432,"Málaga",17
308,19473,Morales,16
309,63302,"Génova",21
310,25473,Mosquera,15
311,19698,"Santander De Quilichao",16
312,25758,"Sopó",15
313,19532,"Patía",16
314,5308,Girardota,8
315,52490,"Olaya Herrera",3
316,25653,"San Cayetano",15
317,86573,"Puerto Leguízamo",25
318,99773,Cumaribo,32
319,73168,Chaparral,24
320,23580,"Puerto Libertador",5
321,19573,"Puerto Tejada",16
322,73067,Ataco,24
323,13836,Turbaco,12
324,94001,"Inírida",33
325,15212,Coper,13
326,54800,Teorama,10
327,17662,"Samaná",4
328,47720,"Santa Bárbara De Pinto",20
329,15047,Aquitania,13
330,19212,Corinto,16
331,70429,Majagual,18
332,19824,"Totoró",16
333,25260,"El Rosal",15
334,20787,Tamalameque,7
335,20770,"San Martín",7
336,73283,Fresno,24
337,20238,"El Copey",7
338,68468,Molagavita,17
339,20175,Chimichagua,7
340,17433,Manzanares,4
341,85440,Villanueva,26
342,73675,"San Antonio",24
343,54520,Pamplonita,10
344,17873,"Villamaría",4
345,52323,"Gualmatán",3
346,47798,Tenerife,20
347,76606,Restrepo,19
348,27495,"Nuquí",6
349,5138,"Cañasgordas",8
350,73449,Melgar,24
351,52506,Ospina,3
352,15480,Muzo,13
353,19517,"Páez",16
354,23570,"Pueblo Nuevo",5
355,68861,"Vélez",17
356,19455,Miranda,16
357,13030,"Altos Del Rosario",12
358,76622,Roldanillo,19
359,5030,"Amagá",8
360,76823,Toro,19
361,85162,Monterrey,26
362,41530,Palestina,1
363,5756,"Sonsón",8
364,44090,Dibulla,14
365,73268,Espinal,24
366,25658,"San Francisco",15
367,20443,"Manaure Balcón Del Cesar",7
368,27077,"Bajo Baudó",6
369,8638,Sabanalarga,11
370,15681,"San Pablo De Borbur",13
371,5142,"Caracolí",8
372,23574,"Puerto Escondido",5
373,68132,California,17
374,44847,Uribia,14
375,41396,"La Plata",1
376,86757,"San Miguel",25
377,23855,Valencia,5
378,27372,"Juradó",6
379,27099,"Bojayá",6
380,50350,"La Macarena",22
381,15600,"Ráquira",13
382,13667,"San Martín De Loba",12
383,54820,Toledo,10
384,27800,"Unguía",6
385,20383,"La Gloria",7
386,73152,Casabianca,24
387,5847,Urrao,8
388,25524,Pandi,15
389,13744,"Simití",12
390,15455,Miraflores,13
391,85010,Aguazul,26
392,15837,Tuta,13
393,54398,"La Playa",10
394,47555,Plato,20
395,41132,Campoalegre,1
396,5659,"San Juan De Urabá",8
397,5044,"Anzá",8
398,5501,Olaya,8
399,47707,"Santa Ana",20
400,52079,Barbacoas,3
401,27025,"Alto Baudó",6
402,25875,Villeta,15
403,47980,"Zona Bananera",20
